name,quadrant,ring,isNew,description
FIDO2 / MFA,Sikkerhet,BRUK,FALSE,"<p>Diskusjon gikk mest på bruk av MFA, enighet i gruppen på verdi av å ha krav til MFA. Noen opplever dette ekstra steget som kompliserende og litt strevsomt å forholde seg til. Positive til å utforske mulighetene for bruk av fysisk device slik som Yubikey. </p>

<p><b>Pros & Cons</b><br>
<ul>
<li>- Litt mer tungvint, vurder om det passer for tjenester man kun bruker i test</li>
</ul></p>

<p><b>Brukes av</b><br>
Proaktive Meldinger,
Min Side,
Alle Crayon AWS kontoer</p>"
OWASP ZAP,Sikkerhet,BRUK,FALSE,"<p>Bruk av OWASP ZAP via GH Actions</p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
</p>"
Passord manager,Sikkerhet,BRUK,FALSE,"<p>Ulik praksis på mange team og flere som rapporterer at de bruker egen privat passord manager. Spørsmål om hvorfor det har tatt så lang tid å bli enige om å velge en felles for Origo.</p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Kortlevde tilgangsnøkler, </li>
<li>+ Sikker deling av hemmeligheter</li>
</ul></p>

<p><b>Brukes av</b><br>
Helsedata,
Kjøremiljø</p>"
AWS Security Hub,Sikkerhet,BRUK,FALSE,"<p>Flere som ønsker å ta i bruk, men ikke prioritert. 
Hvordan kan bruk av Sec Hub bindes opp mot f.eks arbeid med ROS</p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Helsedata, 
Barnehagepris</p>"
Gatekeeper,Sikkerhet,BRUK,FALSE,"<p>Open Source prosjekt for å abstrahere bort noen av detaljene ved å støtte OAuth autentisering i en web applikasjon. Gode erfaringer hos de som bruker den, men spørsmål rundt om vi kan bruke bibliotek med høyere aktivitet </p>

<p><b>Pros & Cons</b><br>
<ul>
<li>- Egenprodusert kode for sikkerhet, finnes det andre alternativ?</li>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform</p>"
Microsoft AD,Sikkerhet,BRUK,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Slipper å bruke Keycloak</li>
</ul></p>

<p><b>Brukes av</b><br>
Dataspeilet</p>"
Keycloak (UKE),Sikkerhet,VURDER,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Synk med Oslo Kommune AD</li>
<li>- Ustabil drift,</li>
<li>- Team har ikke tilgang til konfigurasjon</li>
</ul></p>

<p><b>Brukes av</b><br>
Dataspeilet,
Booking,
Min Side,
Dataplattform,
Veiviser,
Barnehagepris,
Skjema</p>"
OAuth2 / OIDC,Sikkerhet,BRUK,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Veiviser,
Barnehagepris,
Helsedata</p>"
AWS Cloudwatch,Sikkerhet,BRUK,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Alarmer på AWS infrastruktur</li>
<li>- Dårlig UI</li>
</ul></p>

<p><b>Brukes av</b><br>
Proaktive Meldinger,
Dataplattform</p>"
Snyk,Sikkerhet,VURDER,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Kategoriserer risiko godt i høy, medium og lav alvorlighetsgrad</li>
</ul></p>

<p><b>Brukes av</b><br>
</p>"
AWS Cognito,Sikkerhet,BRUK,FALSE,"<p>Ikke så alt for mange med erfaring på bruk av Cognito ennå
Diskuterte om det burde finnes en felles IAM broker for Origo team som ikke er Keycloak, ingen tydelig konklusjon.</p>

<p><b>Pros & Cons</b><br>
<ul>
<li>- Ingen synk med Oslo Kommune AD</li>
</ul></p>

<p><b>Brukes av</b><br>
Barnehagepris,
Proaktive meldinger,
Skjema,
Veiviser</p>"
